,href,name,keys
0,https://yocket.in/university-reviews/arizona-state-university-782/engineering,Arizona State University ,ASU
1,https://yocket.in/university-reviews/northeastern-university-736/engineering,Northeastern University ,NEU
2,https://yocket.in/university-reviews/texas-a-and-m-university-college-station-706/engineering,"Texas A&M University, College Station ",TAMU
3,https://yocket.in/university-reviews/university-of-southern-california-745/engineering,University of Southern California ,USC
4,https://yocket.in/university-reviews/university-of-texas-dallas-752/engineering,University of Texas at Dallas ,UTD
5,https://yocket.in/university-reviews/university-of-texas-arlington-824/engineering,University of Texas at Arlington ,UT Arlington
6,https://yocket.in/university-reviews/state-university-of-new-york-at-buffalo-734/engineering,University at Buffalo SUNY ,SUNY Buffalo
7,https://yocket.in/university-reviews/north-carolina-state-university-raleigh-729/engineering,"North Carolina State University, Raleigh ",NCSU
8,https://yocket.in/university-reviews/georgia-institute-of-technology-703/engineering,Georgia Institute of Technology ,GaTech
9,https://yocket.in/university-reviews/university-of-texas-austin-713/engineering,University of Texas at Austin ,UT Austin
10,https://yocket.in/university-reviews/university-of-illinois-at-chicago-810/engineering,University of Illinois at Chicago ,UIC
11,https://yocket.in/university-reviews/new-york-university-2587/engineering,New York University ,NYU
12,https://yocket.in/university-reviews/illinois-institute-of-technology-1043/engineering,Illinois Institute of Technology ,IIT Chicago
13,https://yocket.in/university-reviews/san-jose-state-university-2777/engineering,San Jose State University ,SJSU
14,https://yocket.in/university-reviews/university-of-north-carolina-at-charlotte-860/engineering,University of North Carolina at Charlotte ,UNCC
15,https://yocket.in/university-reviews/carnegie-mellon-university-702/engineering,Carnegie Mellon University ,CMU
16,https://yocket.in/university-reviews/purdue-university-west-lafayette-748/engineering,Purdue University West Lafayette ,Purdue
17,https://yocket.in/university-reviews/university-of-maryland-college-park-712/engineering,"University of Maryland, College Park ",UMCP
18,https://yocket.in/university-reviews/university-of-florida-710/engineering,University of Florida ,UFL
19,https://yocket.in/university-reviews/university-of-california-san-diego-764/engineering,"University of California, San Diego ",UCSD
20,https://yocket.in/university-reviews/pennsylvania-state-university-808/engineering,Pennsylvania State University ,Penn State
21,https://yocket.in/university-reviews/university-of-minnesota-twin-cities-1094/engineering,"University of Minnesota, Twin Cities ",UM Twin Cities
22,https://yocket.in/university-reviews/syracuse-university-705/engineering,Syracuse University ,Syracuse
23,https://yocket.in/university-reviews/university-of-california-irvine-795/engineering,"University of California, Irvine ",UC Irvine
24,https://yocket.in/university-reviews/rochester-institute-of-technology-746/engineering,Rochester Institute of Technology ,RIT
25,https://yocket.in/university-reviews/university-of-michigan-ann-arbor-737/engineering,University of Michigan - Ann Arbor ,U Mich
26,https://yocket.in/university-reviews/virginia-tech-714/engineering,Virginia Tech ,Virg. Tech
27,https://yocket.in/university-reviews/university-of-illinois-at-urbana-champaign-711/engineering,University of Illinois at Urbana-Champaign ,UIUC
28,https://yocket.in/university-reviews/university-of-california-los-angeles-707/engineering,"University of California, Los Angeles ",UCLA
29,https://yocket.in/university-reviews/state-university-of-new-york-at-stony-brook-735/engineering,State University of New York at Stony Brook ,SUNY-SB
30,https://yocket.in/university-reviews/iowa-state-university-818/engineering,Iowa State University ,Iowa State
